Hindi,French
करेंगे (kareṅge),Will (kareṅge)
औद्योगिक (audyogik),Industrial (Audyogik)
आधारित (ādhārit),Based (ādhārit)
हत्या (hatyā),Murder (hatyā)
सहकारी (sahkārī),Cooperative (sahkārī)
विवरण (vivraṇ),Details (vivraṇ)
रोज (roj),Rose (Roj)
मुझसे (mujhse),From me (mujhse)
आना (ānā),Ana (ānā)
मौसम (mausam),Weather (Mausam)
आँखों (ā̃khõ),Eyes (ā̃khõ)
शुद्ध (śuddh),Pure (śUDDH)
भेद (bhed),Bhed
विपरीत (viprīt),Viprīt
लम्बी (lambī),Long (lambī)
बनाना (banānā),Banana (banānā)
दृष्टिकोण (dŕṣṭikoṇ),Approach (dŕṣṭikoṇ)
गलत (galat),Wrong (galat)
समर्थन (samarthan),Support (samarthan)
सम्मेलन (sammelan),Conference (Sammelan)
सचमुच (sacmuc),Really (SACMUC)
बुद्ध (buddh),Buddha (Buddh)
बच्चा (baccā),Baby (BACCA)
दीवार (dīvār),Wall (dīvār)
आंखों (ā̃khõ),Eyes (ā̃khõ)
अध्याय (adhyāy),Chapter (adhyāy)
अत्यधिक (atyadhik),Extreme (atyadhik)
सहित (sahit),Including (Sahit)
योग (yog),Yog (yog)
मुख (mukh),Mukh (mukh)
बिहार (bihār),Bihar (bihār)
काव्य (kāvya),Poetry (kāvya)
सिद्धांत (siddhānt),Siddhānt)
सार्वजनिक (sārvajnik),Public (sārvajnik)
लघु (laghu),Small (Laghu)
बता (batā),Tell (batā)
परस्पर (paraspar),Paraspar
तार (tār),Wire (tār)
चूर्ण (cūrṇ),Powder (cūrṇ)
आयोजन (āyojan),Āyojan)
सांस्कृतिक (sānskŕtik),Cultural (sānskŕtik)
समझने (samajhne),Samajhne
वाद्य (vādya),Instrument (vādya)
प्रतीक (pratīk),Symbol (pratīk)
तुम्हारा (tumhārā),Tumi (tumhārā)
छात्र (chātra),Student (chātra)
चुप (cup),Chup (cup)
अक्सर (aksar),Often (Aksar)
जायेगी (jāyegī),Will go (jāyegī)
रखे (rakhe),Rakhe
भार (bhār),Bhar (bhār)
फलों (phalõ),Fruits (Phalõ)
जीवित (jīvit),Live (jīvit)
आजकल (ājkal),Nowadays (ājkal)
विस्तृत (vistŕt),Vistŕt
गिर (gir),Gir
गुरू (gurū),Guru (gurū)
खाद्य (khādya),Food (khādya)
उतर (utar),Utar
अमेरिका (amerikā),America (Amerikā)
सुना (sunā),Sunā)
स्थानीय (sthānīya),Local (Sthānīya)
विषयों (viṣyõ),Subjects (viṣyõ)
घंटे (ghaṇṭe),Hour (Ghaṇṭe)
कराने (karāne),Karāne)
उतना (utnā),That (utnā)
शताब्दी (śatābdī),Shatabdi (śatābdī)
व्यवसाय (vyavsāy),Business (vyavsāy)
मंदिर (mandir),Temple (mandir)
परिचय (paricay),Introduction (Paricay)
गांवों (gāmvõ),Villages (Gāmvõ)
बाँध (bāndh),Dam (bāndh)
निश्चय (niścay),Niścay
उपकरण (upakraṇ),Equipment (upakraṇ)
आतंकवादियों (ātaṅkvādiyõ),Terrorists (ātaṅkvādiyõ)
वैदिक (vaidik),Vedic (Vaidik)
भागों (bhāgõ),Parts (bhāgõ)
अंश (anś),Part (anś)
सूत्र (sūtra),Sutra (sūtra)
विविध (vividh),Miscellaneous (vividh)
बारह (bārah),Twelve (bārah)
फलस्वरूप (phalasvarūp),Consequently (Phalasvarūp)
काट (kāṭ),Cut (kāṭ)
अधिकतर (adhiktar),Most (Adhiktar)
स्वाभाविक (svābhāvik),Natural (svābhāvik)
वाक्य (vākya),Sentence (vākya)
बैठी (baiṭhī),Sit (baiṭhī)
परिस्थितियों (paristhitiyõ),Circumstances (paristhitiyõ)
सूर्य (sūrya),Sun (sūrya)
शत्रु (śatru),Enemy (śatru)
पत्तियों (pattiyõ),Leaves (pattiyõ)
नियोजन (niyojan),Niyojan
ग्रन्थ (granth),Granth
कही (kahī),Kahi (kaahī)
उम्र (umra),Age (UMRA)
अग्नि (agni),Agni
सिख (sikh),Sikh (sikh)
बाप (bāp),Father (bāp)
पाकिस्तान (pākistān),Pakistan (pākistān)
पश्चात् (paścāt),Post (paścāt)
चिन्ता (cintā),Cintā)
आयोजित (āyojit),(Āyojit)
यहीं (yahī̃),Here (yahī̃)
वाद्यों (vādyõ),Instruments (vādyõ)
मुसलमान (musalmān),Muslim (musalmān)
भेज (bhej),Send (bhej)
बैंक (baiṅk),Bank (baiṅk)
नारी (nārī),Nari (nārī)
अंतिम (antim),Last (Antim)
समुद्र (samudra),Sea (samudra)
संग्रह (saṅgrah),Collection (saṅgrah)
लेती (letī),Leti (letī)
दृश्य (dŕśya),Scene (dŕśya)
खाद (khād),Compost (khād)
आलोचना (ālocnā),Criticism (ālocnā)
हैक्टर (haikṭar),Haikṭar
विरोधी (virodhī),Opponent (virodhī)
पश्चिमी (paścimī),Western (Paścimī)
धान (dhān),Paddy (dhān)
डाक (ḍāk),Dak (ḍāk)
कदम (kadam),Kadam (kadam)
आकाश (ākāś),Akash (ākāś)
स्थायी (sthāyī),Permanent (sthāyī)
वितरण (vitraṇ),Distribution (vitraṇ)
वंश (vanś),Dynasty (vanś)
रोक (rok),Rok (Rok)
प्रेरणा (prerṇā),Inspiration (prerṇā)
चीनी (cīnī),Chinese (cīnī)
औरत (aurat),Woman (Aurat)
अप्रैल (aprail),April (aprail)
अनिवार्य (anivārya),Compulsory (anivārya)
सकें (sakẽ),Can (SAKẽ)
महिला (mahilā),Woman (maahilā)
पहचान (pahcān),Identity (pahcān)
क्रमशः (kramśaḥ),Respectively (kramśaḥ)
सैनिक (sainik),Sainik (Sainik)
वजह (vajah),Reason (Vajah)
लकड़ी (lakṛī),Wood (lakṛī)
रुपये (rupye),Rupee (Rupye)
बढ़ा (baṛhā),Bad (baṛhā)
पीठ (pīṭh),Back (Pīṭh)
पाई (pāī),Pai (pāī)
डाक्टर (ḍākṭar),Doctor (ḍākṭar)
सम्पर्क (sampark),Sampark
वीं (vī̃),Ven (vī̃)
माननीय (mānnīya),Honorable (mānnīya)
मूल्यांकन (mūlyāṅkan),Evaluation (mūlyāṅkan)
गाय (gāy),Cow (gāy)
क्षण (kṣaṇ),Moment (kṣaṇ)
हालत (hālat),Condition (hālat)
संदर्भ (sandarbh),Reference (Sandarbh)
बीस (bīs),Twenty (BīS)
दोष (doṣ),Flag (doṣ)
जीव (jīv),Jeeva (JīV)
चित्रित (citrit),Citrit
खान (khān),Khan (khān)
खुशी (khuśī),Happiness (khuśī)
रोजगार (rojgār),Employment (rojgār)
रिपोर्ट (riporṭ),Report (riporṭ)
मंत्रालय (mantrālay),Ministry (mantrālay)
प्राथमिक (prāthmik),Primary (prāthmik)
प्रदर्शित (pradarśit),Displayed (pradarśit)
धारणा (dhārṇā),Dharna (dhārṇā)
ताल (tāl),Tal (tāl)
जंगल (jaṅgal),Jungle (jaṅgal)
सका (sakā),Sak (sakā)
यान (yān),Yan (yān)
उपक्रम (upakram),Undertaking (upakram)
अंकित (aṅkit),Ankit (Aṅkit)
शिव (śiv),Shiva (śiv)
त्याग (tyāg),Renunciation (Tyāg)
जिसने (jisne),Who (Jisne)
गरम (garam),Hot (Garam)
समाचार (samācār),News (samācār)
शाखा (śākhā),Branch (śākhā)
बुरी (burī),Bad (burī)
डाला (ḍālā),Dala (ḍālā)
जून (jūn),June (jūn)
ज्ञात (gyāt),Gyāt)
गर्भ (garbh),Garbh (Garbh)
कर्मचारियों (karmacāriyõ),Employees (karmacāriyõ)
मामलों (māmlõ),Cases (māmlõ)
बजाय (bajāy),Instead (bajāy)
तरीके (tarīke),Ways (tarīke)
आदर्श (ādarś),Adarsh ​​(ādarś)
हिस्सा (hissā),Part (hissā)
संरचना (sãracnā),Structure (sãracnā)
स्पर्श (sparś),Touch (Sparś)
जनवरी (janavrī),January (Janavrī)
चित्रकला (citraklā),Painting (citraklā)
चरित्र (caritra),Caritra
क्षेत्रीय (kṣetrīya),Regional (Kṣetrīya)
क्यू (kyū),Q (KYū)
रखता (rakhtā),Rakhta (rakhtā)
बिक्री (bikrī),Sales (bikrī)
पुस्तकों (pustakõ),Books (Pustakõ)
निर्मित (nirmit),Nirmit
जैन (jain),Jain
गले (gale),Gale
ग्रा (grā),Gr (Grā)
खराब (kharāb),Bad (kharāb)
करो (karo),Do (karo)
कक्षा (kakṣā),Class (kakṣā)
आश्चर्य (āścarya),Surprise (āścarya)
रास्ता (rāstā),Rasta (rāstā)
युक्त (yukt),Containing (yukt)
बनाए (banāe),Banāe)
बेटा (beṭā),Son (bee)
बेटे (beṭe),Son (bee)
प्रबन्ध (prabandh),Prabandh
निम्नलिखित (nimnalikhit),The following (nimnalikhit)
चेहरा (cehrā),Face (Cehrā)
अर्जुन (arjun),Arjun
सम्मान (sammān),Honor (sammān)
यथार्थ (yathārth),Reality (yathārt)
बहू (bahū),Bahu (bahū)
ध्वनियों (dhvaniyõ),Sounds (dhvaniyõ)
जिन्होंने (jinhonne),Who (jinhonne)
छाया (chāyā),Chhaya (chāyā)
खबर (khabar),News (khabar)
संकट (saṅkaṭ),Crisis (saṅkaṭ)
बेटी (beṭī),Daughter (bee)
पशुओं (paśuõ),Animals (Paśuõ)
अति (ati),Ati (ATI)
समझता (samajhtā),Understand (samajhtā)
रोकने (rokne),Rokne
भक्ति (bhakti),Bhakti (Bhakti)
दशा (daśā),Dasha (daśā)
चलती (caltī),Moving (Caltī)
घास (ghās),Grass (ghās)
कथन (kathan),Statement (Kathan)
सामान (sāmān),Luggage (sāmān)
मजदूरी (majdūrī),Wages (majdūrī)
भरी (bharī),Bhari (bharī)
बिलकुल (bilkul),Absolutely (bilkul)
दूसरों (dūsrõ),Others (DūSRõ)
गरीब (garīb),Poor (Garīb)
अस्तित्व (astitva),Existence (Astitva)
अकेले (akele),Akele alone
सौन्दर्य (saundarya),Beauty (saundarya)
साहसी (sāhsī),Daring (sāhsī)
समझते (samajhte),Understand (samajhte)
विद्युत (vidyut),Electrical (vidyut)
लिखी (likhī),Written (likhī)
नाटक (nāṭak),Drama (nāṭak)
धूप (dhūp),Incense (DHūP)
दरवाजे (darvāje),Darvāje)
कमजोर (kamjor),Weak (kamjor)
आदत (ādat),Habit (ādat)
सम्प्रदाय (sampradāy),Sampradāy)
शोध (śodh),Research (śodh)
वीर (vīr),Veer (VīR)
रुपया (rupyā),Rupee (rupyā)
मौत (maut),Death (Maut)
भले (bhale),Bhale
प्रसन्न (prasanna),Prasanna
निजी (nijī),Private (nijī)
जातियों (jātiyõ),Castes (jātiy)
गीतों (gītõ),Songs (gītõ)
कीट (kīṭ),Insect (kīṭ)
उतनी (utnī),So much (Utnī)
